"Site_ID","Y_Northing_UTM","X_Easting_UTM","Elevation_m","Year"
"UID49683 OT",4596948.416,487020.651,1913.259,"2023"
"UID34974 B",4593459.602,478262.649,1994.09,"2023"
"UID34974 IN",4593459.685,478255.005,1991.59,"2023"
"UID34974 OT",4593464.027,478263.204,1991.497,"2023"
"UID94738 IN",4615933.774,433980.642,1545.885,"2023"
"UID94738 B",4615933.805,433986.572,1546.755,"2023"
"UID94739 IN",4615944.551,433969.172,1544.957,"2023"
"UID3813 B",4630407.526,458362.824,2445.651,"2023"
"UID3813 IN",4630401.696,458354.752,2444.349,"2023"
"UID3813 OT",4630392.125,458361.152,2443.836,"2023"
